PN.WESTERN_PAMA_NYUNGAN.NGAANYATJARRA,milu-mi5a-Nankulu-Nanku5a-Nayulu-Nayu5a,purlar-purlarpa-yaLkulypa-yilypilypi,milTan-tarka,mimi,piTaku,mirirNku,papa-5imu,5antulku-Tikilku-wuntulku,pina-mararu-yanpiri-yaNkuru,kuru-5aniti,waru-5unma,kapiNkaTa-kukapilypa,TalyNaraku,mara-malkurtu,kuliku,wiLkara,murti,kaLpi,kamantu-yalu,Tirtu,puLi-yapu,ma5Ti-yini,nupalya,muNa-Nura,mulya-murtara,kuTu-kumpi5u,rur-rurpa-yiwara,yanaNu,5aku-TaraNkanku,mi5ara-miri,pintiri,puLi-yapu,5iLpa,TaLli5pa,kartiri,Nana-punu,kuTara,kapi-kumpuLi-wirta,laTu,5untulu
PN.WESTERN_PAMA_NYUNGAN.NGADJUNMAYA,,yuniN,targa,pibi,yulu-yaNu,mambukadi,tyudyu,nudan,pinda,mil,kala-kaya,,pudal-pudar,mara,koana,,mudi,,Naldi-Naldyi,kidu-tidu,,kuli,,tyuNin-tyuNun,mula,kayanu,,,naNu,piNgili,pirndil,puri,yagurdu,tyalan,,Narda,kudara,kabi,NadyuNri-Nadyuari,Nundu
PN.WESTERN_PAMA_NYUNGAN.NGALOOMA,Nai,marda,kuTi,,kugai,,wanTa-yoguru,pinTa,kulga,8ola,kala,pi-wagari,wi5a,mara,wanabari,panagari,,parrga,Namarri,kulu,,yini,yiTaNu,8un8u,,kunTiri,yirdia,maiaga,nagu,kabun,piniri,mana,yarnda-yura,yalura-8ali,yira,,ku8ara,paba,Nali,niNu
PN.WESTERN_PAMA_NYUNGAN.NHANDA,Nayi,Nuba,mambu,ibi,indu-yatka,,ithu-Nubanu,Nala,wutka,milu,wajanu,wiCka,,mara,wa5jida,bindibindi,thada,,marudi,wiLu,paLu,ini,,maru,mutha,kutiya,,anmanu-puguda,4a,wutpi,indiya,wurXa,thuri-warXu,thala5u,idaji,yaNa,wuthada,apa,Nayinu,5ini
PN.WESTERN_PAMA_NYUNGAN.NYANGUMARTA,NaTu,miTi,ku5Ta,5iti,milpa,kutuTari5,yukuru,minpi,kuLka,pani,wika-tili,Tanpamalu,wi5a,parir,pinakari,,,parka-waLaka,miLiki,kulu,wanku,yini,,warukati,muLa-miLa,waraTa,Tukuti,marNu,yiri,lakan,,wanku,karpu-Ta5Ta,TaLin,yira,muNka-wuru,kuTara,Napa,Na5Turu,5untu
PN.WESTERN_PAMA_NYUNGAN.NYOONGAR,Naja-Na5,Nup,julur-kweC,bibi,yuwalkuL-kuL,win,dwut,Nan,dwoNg,miyal,kaLa-kaL,bi,murat,mara,kadij-dwoN,jiNala,boniC,maNga,mayar,kul-kulu,kada-kadakumbar,kwel,yeyi5aN,kedalak,muLa,ke5,jurut-mat,,jinaN,mabo-map,jindaN-maLan,boya,NaNg,dalaN,NoLak,buna,kujal,kabi-kep,Nala-Nalakadi,nunda-nunuk
PN.WESTERN_PAMA_NYUNGAN.NYUNGA_NORTHERN,,Nubu,kudyi,bibi,yuwalkul,wen,dhuda,Nan,dhuNka,mayel-myal,kala,,murat,mara,kadaty-dhuNka-dhwoNk,,bunity,mayar,mayara,kulu,kata,kweLa,yi5aN,malkar-kidalak,maLa,dhumbat,,mamarap-yuNa-4aNa-5unga,4aku-dyinaN,mabu,NaNkar,buyi,NaNka,dhala5,Nalku,bunu,kudyal,kabi,,
PN.WESTERN_PAMA_NYUNGAN.NYUNGA_SOUTH_WESTERN,,Nuba,kwedya,biba,yuwalkul,wen,dhwada,4alku,dhunka,mayel-myal,kala,,murat,,kadaty-dhuNka-dhwoNk,,bunity,,mayar,kula,kat,kweLa,yi5aN,malkar,muLa,ka5-ke5,,5uNa-4uNga-yuNa,4aku-dyinaN,moba,dyindaN,boya-bwaya,NaNkan,dhala5,Nolka,buna,kudyal,kaba,,
PN.WESTERN_PAMA_NYUNGAN.PANYTYIMA,Natha,mata-midyi,kudyi,pipi,pakalku,kutuwayiku,yukuru-wa5dya-wa5dyatara,Nanaku-maNunpilku,kulka,thula,kala,kapi,wi5a,mara,kuliyalku,,,parka,Namari-Nalkari,kulu,,yini,yidyaNu,warukata-waruNala,muLa,yikamata-ku5dyilka4a,yitiya-matiya,malpa-yamarpa,wiyalku-yinuwalku,kanu-kanunmara,pintiri,manta,karpu-yanta,yaLuru,yira,kanti-kantinmara,kuthara-Nuyara4a,papa,Nalikuru-Naliyakuru,Ninta
PN.WESTERN_PAMA_NYUNGAN.PINTUPI,Nayulu-Nayu5a,milkali-Nurka,tarka,mimi-yipi,warka5u-yanu,kawaliriNu-yiluNu,papa-Cantu,kurNalymanu-Cikinu,kurata-pina,kuru-na5iti,kuniNarpa-waru,,palpuru,mara-mulkutu,kurantanu-yalCurunu,yuriwilyilyi,muti-walanipa,parka-Calyirpa,Caru-yalu,,yapu-puli,manCi-yini,kuwariCanu-Calykara,muNa,mulya-nunNura,kuCu,yiwara-palkara,yanaNuriNu,naNu-rupuNu,minara-paNki,pintiri-wilpa,puli,,Calinpa,katiti-yira,Nana-wata,kuCara,kapi-Napa,pula-Cana,nuntu-nurana
PN.WESTERN_PAMA_NYUNGAN.PITJANTJATJARA_YANKUNTJATJARA,Nayulu,tyulku-milkali,tarka,ipi-mimi,pitya5i,ilu5i-wiyariNa5i,papa-tyitutya,tyikini,pina-anpiri,kuru,waru-kupartyi,antipina,winki,mara-ma5irka,kulini,milpi5pa,muti,5alpi-kalpi,alu,,apu-pilu,ini,5uwana-kuwaritya,muNa,mulya,kutyu,iwara-ruta,ananNu,5aNa5i,miri-pantu-pi,kililpi,puli-apu,tyirirpi-tyintu,tyali5pa,katiti,panu,kutyara,kapi-mina,Nanana,5untu
PN.WESTERN_PAMA_NYUNGAN.RITHARNGU,ra-Nara,,Naraka,Namini,wani,guyupa,watu,muNgu,buturu,maNuTi-mil-milkir,gurta-wurk,guya,daNaN,guN,guyaNa-Na,,gurpala,manTar7-gadaN,Naltir,juku-dilmur,gupa-nuka7,garar-yaku,,makaL-muna,Nuru,widipiyaN7,maLa-gaTaL-dukar,yulNu,na,guLa7,dapaLk,nuka7-mutum,waLir,dilN,Lira,darpa-raNa7,bulalma5Ti,gapu,lima-Nalima,ni
PN.WESTERN_PAMA_NYUNGAN.WAJARRI,NaTa,yalku,ika,mimi-mimpurtu,yanaTima5a,mulayima5a,TuTu-wanTu,Nanma5a,kulka,kuru-Tula,kala,wintilara,5umulpu5ira,mara,NaNkunma5a,,puru-murti-kaNku,yalu,piTarn,kulu,,,,muNa,mula,kuriya-kutiya,,yamaTi-yamaTipakali,5aNa5a,kanTa-warntu-puka,purntara,yapu,karaNu,Tali5-Tala5,wilka-yira,wirnta,kuTara,papa-kapi,Na5u,5inta
PN.WESTERN_PAMA_NYUNGAN.WALMAJARRI,Natyu-Natyi,nuNu,kutyi,Namana,yanta,pilatyari,kunya,Na5tya,pina,mil,walu,kapi,,kurapa,pinakari,,nimiti,tyalyar-pitipiti-wa5al,miliki,ma5al,,yini,,puka5tya,tyri-punul,kayan-layi,wantari,piyin,5aka,patu-tyarya,wil,pamar,puraNu,tyala5,lira-katiti,mana,kuri5,Napa,Nalimpa,5antu
PN.WESTERN_PAMA_NYUNGAN.WANGKA_WIRU,Nayulu,julku-milkali,tarka,ipi,pija5i,ilu5i-wiyariNa5i,papa-jiutja,jikini,pina,kuru,waru,antipina,,ma5irka-mara,kulini,,muti,5alpi,alu,jitu,puli-apu,ini,kuwarija,muNa,muLa,kuju,iwara-ruta,anaNu,5aNa5i,miri-pi,kililpi,puli-apu,jintu-jirirpi,jali5pa,katiti,punu,kujara,mina,Nanana,5untu
PN.WESTERN_PAMA_NYUNGAN.WARLPIRI,NaCu-na,yalyu-Naparuku,,duku-tuku,yani,palimi-5unupalimi,maliki-tandau,Nani,piCara-laNa,milpa,walu,luwanCa-kakalyu,pidaCari,daka-taka,puda5a5i,malpintiri-yarawilyunu,midi-mudu,Calyirpa,yalami-5ilima,lutu-yaka,Nanka,yidi,CalaNuwanu,muNa-kutu,mulyu,Cinta,wiliyala-wantari,yapa-palka,5a5i,pinti-paNki,wanCilpiri-wanCilypiri,pili-pulu,wanta-Nililpa,Calanpa-Calan5pa,katidi,watiya,Cirama-Cirima,Napa,Nali-li,5untu-npa
PN.WESTERN_PAMA_NYUNGAN.WARLUWARA,Nana,,,Nama,nandanami,maraturi,warawula,,mankaru,NaNa,manala,njimi,,markana,lari,,mirimala,,kamandili,,,jini,kalaNu,tjuwala,Nutu,jarxulu,,,jaNa,njiri,majini,wata,pumata,natala,kutana,juxu,kutja,wuku,Nali,jipa
PN.WESTERN_PAMA_NYUNGAN.WARUMUNGU,arni,karim,kartakarta,Namuna,,,kunapa,,kuwarta,miyil,warlukun,liwanja,muru,murnari-taka,,,mirtinpi,marla,malimpari,putu,waNari,wini-maranta,payintalki,,Nuru,yamti,yuwaji,,,nyuru,lukunu-wurlukunu,waNari,kilyir,jarany,,yuwala-wirntiri,kujara,Napa,,aNi
PN.WESTERN_PAMA_NYUNGAN.YANANGO,Nara,gulaN,ma7irin,,giriyun,baliiri,wuNgan,NurgTun,buduro,maNuTi,bwimar,Nariri,daNaN,gogo,baraNara-barNara,,nibal,Tar,birila,mugmug,bande,yagara,yuda,,,waliba,warbadiNgu,yulNu,nama,galagal,ga5u,wadaba,bin,Nanar,rara,bambi,marma,gabu,Nalima,nunu-nuruli
PN.WESTERN_PAMA_NYUNGAN.YANYUWA,Nana,NuLa-NunuNunu,buyuru-NuLanda,wu4an-mugugu,wiNgaya-wuNguninda,nambamir,wagugu-wunindi,Nun-wundaya,anma-mangawuru,gabara-mi,budibudi-wumayaNga,aLgu-wururu,dabuLuLu,guyala-maLidi,Ngarinda,diririma,buru-midimal,wandir,guluwala-mani,mugaga-wuda,buluruluru-daNga,wini,diyaNu,wunbar-wundurur,NuNguni-Nuru,argula-yalgu,yabala-yalwa,miniNiya-miniNu,NalaN-wanabanaN,mana4da-yira,warawidi-yaLburidi,buluruluru-daNga,gamba-yaba,Na4dal,mayi-gudani,wunda-wuyuman,anirara-ganmada,gaLuLu-wabuda,Nambala,yinda
PN.WESTERN_PAMA_NYUNGAN.YOLNGUMATHA,Nara,gulaN,Naraka,dhiliNi5,buna,dhiNgama,wartu,,,mel-maNutyi,gurtha,guya,dhaNaN,dhungal-goN-Narambiya,Nama,,bun,marwat-mantyar,birdila-NalthiriN,,,Naykana,yuta,mu4aku-mu4awu,Nuru,ga4aman-waNga5,dhukar,,,malk,,gunda-Naru-Nambi,walu,Narnar-yan,,dharpa,bulaL,burwuLa-gapu-Narkula,napuru-Nilimu,4e-4unu
PN.WESTERN_PAMA_NYUNGAN.YULPARIJA,Nayu,yirlku,tarrka,,,,jantu-jarntu-kunyarr-nulju-wirta,jikila,munarta-pina,kuru,waru,yurta,munku,mapirr-mapirrpa-mara,kulila,,,jalirr-jalirrpa,miliki,,tali,yini,,muNajarra,milya-mulya,kumpinyu,karukaru,wati,nyawa,yakurra,wily-wiril,purli-warnku,jirntu,nyarliny,yirra,jartu-warta,kujarra,kalyu,,nyuntu
PY.PEBA_YAGUAN.YAGUA,ray,nunda,candu,candutuy,cuni,cand3iy,nibi,cahatu,catuway,can3ci,h3nday,,panuho,cahomutu,catuwacyu,catuyuwu,candaci,naw3,cuwatu,rudn3,,citya,wand3ra,nuupora,canruci,tarak3,,nihyamw3,cunuy,cahay,nundaicy,rawicyu,hinyi,candacyi,cahanda,n3nu,narahuy,ha,nuy,hiy
PY.PEBA_YAGUAN.YAGUA_2,ray,nuda-ndaha,,hitya,xniy,di-ditya-di5u,nibi,hatu,hay-hi-tuway,hunutya-nisityadi,hiday-kiwarya,kiwa,,sahomutu,tuwaCu,,,wi-nawi,huwatu-hwatu,runi,,hitya,wadi,nupora,nuru,taraki,mantya-nu,nihjami,di-hunuy,hay-hasihay,darCi-dariCi-hudariCi,rawiCu-nu,,daCi,ho-hada,,huy-darahuy,ha,nay-wuy,hi
PY.PEBA_YAGUAN.YAGUA_3,day,nda,ndu,ndutuy,,ndi,nimbi,xatu,xay,xnutya,xinday,kiwa,,xomutu,tuwaCu,,,wi,sukatyu,ndundni,,xitya,juj,nupora,nru,taraki,mantya,nixyami,xnuy,xay,ndariCiy,awiCu,,nikexanda,xanda,,andaxuy,xa,wu5i,xi
Pae.PAEZAN.PAEZ,andy-u7kwe,e,dyith,CuC,yuh,u,alku,tundy,thuwe,yafy,ipy,wendy,uta,kuse,weseh,kaCu,hyukwet,ec,meky,es,vicwala,yase-yese,nueve,kus,ic,teC,dyih,nasa,uy-theN,khaT,a7muS,kwet,sek-takykwe,Tune,kith,fytu,e7nz,yu7,kweS,indy-i7kwe
Pan.PANOAN.AMAHUACA,hun,ximi,Sao,CoCo-SoCi,xohi-vuhi,nahi-nokahi,hino,hayakin,pavinki,vuro,Cihi-xuru,,,mukun,ninkakin,manSo,rantonko,puhi,taka,hiya,karunnaha-maCi,xanu,vuna,yamu,rukin,,vahin,xoCi-xoni,hinhi,Saka,viSi,mankan-maSaS,vari,xana-xovi,Suta,xi,ravu,xunu-vakonhma,noku-non,min-miya
Pan.PANOAN.ARARA_PANO,3n,imbi,Sau,Sumba,,da,kaman,aya,paCu,w3ru,Ci,yumba,huspia,buhi,dinka,maSu,rantunkun,p3i,taka,pia,baCi,ada,pusku,yab3,r3kin,visti,diti,,unin,viCi,iStin,baSaS,Sandi,anda,S3ta,di,rav3,vaka,nun,min
Pan.PANOAN.CAPANAHUA,,ximi-xi,Sao,Soa-CoCo,xawi-xo,mawati-i7ki,oCiti,bakeSo,pabiki-pa,bero-beS,Ci7i,yapa,bo7as-boCo,meke-me,nikaki,maSpi,raboSo-ra,pe-pe7i,taka,kai,maCi,xane,be7na,yae,riki-re,westi,ba7i,xoni,meraki-xiski,biCi-ra7,wiSi,maka,bari,xana-xa,Seta-Se7,xiwi,rabe,xene-ne,noke-no,mi-mia
Pan.PANOAN.CASHIBO,,imi,So,Suma,uti,bamati-5uti,,kuaSkati,pabi,buru,taba-ci,,,muku,kuati,matuSka,rabuSu,pui,takau,suku-SiSi,baSi-mata,anu,,imu,ruki,aCuSi,bai,uni,isti,buSbi-Saka,ispa-uspa,maSaS,bari,ana,Suta,,rabu,umpaS,,
Pan.PANOAN.CHACOBO,,himi,Sao,Soma,ho-b3ka,na-r3so,ina-inaka,,pa7oki,b3ro-w3ro,Ci7i,Sa3-sanino,r3am3-s3ya,m3-m3k3n3,nika,mawi,rapoto,p37i-mani,taka,,mait3maCi-makana,han3,paSa,bakiCa,r3Saki-r3to,w3stita,ba7i,no7iria,his,biCi,wiStima,maSaSa-man3k3noti,bari,ha-hana,S3ta,hiwi,rab3ta,h3n3,no-noa,mia
Pan.PANOAN.HUARIAPANO,Ebi,ximi,Sao,SoCi,xoibakanSiki,mahuakE,inahuas,SEai,pabikin,bEro,iti,caca,boCo,mExkEn,,paSkan,ranboSo,pEi,taca,ia,maniS,xanE,bEna,yamE,rExkin,xaCopi,bai,xoni,,Saxka,lusEro,maxkan,bari,xana,SEta,xihui,rabE,onpaSkon-xEnE,nobi,mibi
Pan.PANOAN.KASHIBO_ALTO_AGUAYTIA,3,imi,so,suma,uti,bamati-wamati,uCiti-kamon,s3ati,pabi,b3ru,ci,wakena-caca-bakena,,m3k3n,kwati,,rabusu,p3i,takwa,ia,baSi,an3,b3na-io,im3wakiS-im3bakiS,r3kin,aCuSi,wai-bai,unib3bu,isti,saka-b3Si,ispa,masas,bari-wari,ana,s3ta,i,rab3,7umpas,nu,mi
Pan.PANOAN.KASHIBO_BAJO_AGUAYTIA,3,imi,so,suma,uti,bamati,7uCiti-kamon,s3ati,pabi,b3ru,ci,bakena-caca,,m3k3n,kwati,,ranbusu,p3i,takwa,ia,baSi,an3,b3na-io,im3,r3kin,aCuSi,bai,uni-b3bu,isti,saka-b3Si,ispa,masas,bari,ana,s3ta,i,rab3,7umpas,nu,mi
Pan.PANOAN.KASHIBO_SAN_ALEJANDRO,3,imi,zo,suma,uti,wamati,uCiti,z3ati,pawi,w3ru,si,wakena-sasa,,m3g3,kwati,,rauzu,p3i,tagwa,ia,wain,an3,w3na-io,wakin,r3gin,aCui,wai,uni-nukuw3n3,3ti,zaga-w3i,3pa,mazaz,wari,ana,z3ta,i,raw3,7umpaz,nug3gama,mi
Pan.PANOAN.KASHIBO_SUNGAROYACU,3,imi,so,suma,uti,wamati,uCiti-kamon,s3ati,pabi,b3ru,ci,wakena-caca,,m3k3n,kwati,,ranbusu,p3i,takwa,ia,baSi,an3,b3na-io,wakiS,r3kin,aCuSi,wai,unib3bu,isti,saka-b3Si,ispa,masas,wari,ana,s3ta,i,rab3,7umpas,nu,mi
Pan.PANOAN.KATUKINA_PANO,3a,hima,cau,Suma,,bupi,kaman,aka,panCu,biru,Ci,caca,maC3ki,m3bi,ninka,mancuny,rabusu,p3i,taka,ia,maCi,an3,p3na,iam3,r3nkin,w3sti,bai,,uin,h3Sb3,biSi,miski,bari,ana,Sita,hiwi,rabi,waka,nuk3,mia
Pan.PANOAN.KAXARARI,3h3,himi,Sahu7,Suma,ho,k3Ci,Caxpa,kula,isakili,buCu,Ci,maili,kiSik3,makali,ka,maSahu,Cana,himani,taka,ia,mankuSaS,hali,hab3laki,yam3ta,Cukani,wispi,ipai,,baya,ibiCi,Salali,SaSu,waCi,hana,S3ta,hiwi,Cabuta,waka,loho,mihi
Pan.PANOAN.KAXINAWA,3n,himi,Sau,CtCin,hu,mawa,kaman,ak,pabinki,b3du,Ci,baka,mata,m3k3n,ninka,maSun,dantunku,p3i,taka,ia,maCi,k3na,b3na,yam3,d3kin,b3SCiCai,bai,,uin,biCi,biSi,maSaS,badi,hana,S3ta,hi,dab3,umpaS,nun,min
Pan.PANOAN.MARUBO,3a,imiki,Sau,Suma,,wapiSua,wapa,aka,panSu,w3ru,Ci,yapa,mataka,m3vi,nika,maSu,ravuSu,p3i,taka,ia,maCi,na3,v3naCa,yam3,rukin,w3stis3,wai,,ui,Saka,iSi,SaSu,vari,anar3vu,S3ta,iwi,r3b3oki,waka,nuk3,mia
Pan.PANOAN.MATIS,3nbi-3bi,imi,wiSpo,Suma,Co,nan,wapa,ak,papuSan,b3du,m3Ste,Capa,kubudap,m3k3n,kuak,pais,danb3du,p3i,takua,Ca,udukute,an3,paSa,im3d,d3S3n,epapa,bai,,,bici,wispa,meko,tanun,ana,S3ta,iwi,dab3dpa,waka,nuki,minbi-mibi
Pan.PANOAN.MATSES,ebi-embi,inta,kanidte,,Co,,,a,pabiate,eSe,kwete,nuekit,,medante,tanteo,,daneS,,isese,,kwetetayunnimedu,,Cukambo,enCeS-inCeS,debiate,abence,,,is,bici,wispa-uwispa,kwenote-moko,badiadanCeNkekit,anusudte,Seta,kwete,daed,piute,noki,mibi-mimbi
Pan.PANOAN.POYANAWA,3a,ibi,hau,huba,,tab3a,uCiti,duhua,pabiki,b3ru,ikutiba,yuma,buspia,m3nk3,tapia,mahan,ranbuSu,o3i,taka,iya,manCi,ad3,bahu,yabi,runkin,w3st3,bai,,,biCi,b3Ca,ruw3,wari,ada,h3ta,iwi,rab3,waka,dun,min
Pan.PANOAN.PROTO_PANO,,imi,Sao,Soma,,mawa,inaka,aya,pabiki,biro,Ci7i,caca,bospia,m3bi,nika,maCa,raboSoko,p37i,takwa,ia,maCi,ani,bina,yam3,r3,w3stita,ba7i,,oi,biCi,wistima,maSaS,bari,ana,S3ta,iwi,rab3ta,omapaSa,nu,mi
Pan.PANOAN.SHANENAWA,,imi7,Saw37,Suma7,,na,kama,aia,pahiki7,f3ru7,Ci7,iSki,fuspia7,m3fi7,nika,maSu7,ratuku7,p3i7,taka7,ia7,maCi7,an37,f3na7,fakiSi7,r3ki,w3sti7,niti7,,ui,fiCi7,isti,m3Skiti7,fari7,ana7,S3ta7,iwi7,raf37,3n37,nuk37,mi
Pan.PANOAN.SHARANAHUA,,imbi-imi,Sao,ruCa-Somba,,ndai-nai,kamba-paSdna,ayai,paCo-paviki,furo-pwiro,Ci,Sima,vospia-mbumba,mbuku-muvi,ndikai-nikai,mbaSo,ratoko,pui-Sipa,taka,,mbaCiwa-mbawakuya,andu-ani,funda-pina,yambu-yami,ruCoko-riCoko,fusti-wisti,fai,,,viCi-piCi,viSi-iStu,tokiri,fari-Sundi,anda-ana,piti-Suta,iwi-ndi,rafu-rabi,undu,ndo-nokia,mi
Pan.PANOAN.SHIPIBO,ebi,himi-gimi,sau,suma,huki-wiki,mauaki,uCete-huCete,seaki-numirei,pabiki-pavike,buero,Ci,asapa-waka,matakebuCuake-matate,mue-mueke,ninkaki,wakamanCa-wakamaCa,rambuso,puei,taka,iha-hia,mana,hane,buena,yamue,reki-repueki,ustiura-abiCu,bai-baihi,xuni,iski-hiski,biCi,wisCti,maua-maka,bari,hana-yuiyui,seta,hibi,rabue,umpas,nua-nubo,mi-mibi
Pan.PANOAN.YAMINAWA,3n,ibi,Sau,Suba,,da,paSta,aya,paCu,h3ru,Ci,yuba,huspia,m3k3n,dika,maSu,latu7u,iwip3i,taka,ia,bakiS,ad3,b3da,yab3,r3Cuku,wisti,baitapia,,uwi,hiCi,iStip3ru,tu7iri,Sidi,ada,baCa,iwi,rawi,upaS,nu,min
Pan.PANOAN.YAWANAWA,3n,imi,Sau,Suma,,na,kaman,aya,pahinki,biru,Ci,yuma,huspia,m3k3n,nika,maSum,,p3i,taka,ia,maCi,an3,b3na,yam3,r3kin,wisti,niti,,uwi,biCi,iSti,m3Skiti,bari,ana,s3ta,iwi,rab3,waka,nun,min
Pap.PAPI.PAPI,awa,tanE,k3miyo,abiyeyu,mu,,akabu,,m3k3napa,s3wneyo,3likwu,awuwabu,,nusEmE,kimin,,tus3n3yu,s3nipa,akuru,s3barobu,makeypaka,,usanEmi,tinali,tEnibuku,werinebu-wayEnabu,p3liyayo,san3bu,nak,pEsiyE,nuwigu,tapiya,anaw,saheyo,sumunu,napi,amawuwya,arukowa,nasane,upwo
Pau.EASTERN_PAUWASI.EMEM_UMUAF,ona,y3r3,kol,mom,kLop,sumbi,end,endf3L,wubi,yi,yau,ndEgamb,,,wau,,ogLu,pai,yoNgwi,yEmeL,ab3Lwi,,oktamb,kumur,mE,grakamb,mai,al3p,yeNg,ab3,t3rm3,yomekoL,yemaL,menar3p,yo,waLnoLi-jao,anaNk,end,ninao,mao
Pau.WESTERN_PAUWASI.DUBU,no,t3ri,gwano,mamu,k3lawai,kma7a,,,fa7a,ei,we,ambla,,f3ro,fei,,araNgoli,t3fu,,mi,kemai,kini,tambo,w3li,m3ndi,k3rowali,fia7a,toNkwar,aleikie,ser,terpu,kwola,ma7a,klemalbo,kle,weyalgi,kre,ai,numu,
Pau.WESTERN_PAUWASI.DUBU_2,no,tri,g3nuNg3,mamu,kaLu7,kma,sai,ne,fa,i7,wE,ambla,,,fi-fimo,,pupal3ni,tefe,mENgani,mi,tewne,kni,tambo,wuli,mindi,Nglo,musgu,toNgar,aLe,siri,turbu,kla,ma,malbo,kle,wEmumu,kre,ai,numu,fo
Pau.WESTERN_PAUWASI.TOWEI,nNgo,edefi,pana,mamo,korobra,kema,,ge,fasir,ci,we,odu,,fiobena,fei,,pebanori,tefe,,mi,goN,kin,kohi,,mendri,giona,mendedo,,ji,ser,tereNgi,mafi,yimap,keromorok,kerser,wemu,krana,eye,nae,u
Pay.PAYAGUA.PAYAGUA,yam,ya7uisis,,latzewa,,apal,payos,yokasara,ykwa,tigi,icari,nahiwate,yani,mak,hiukampi,,sapeg,,laratavahire,,,,,tohiri,ihiok,hesle,,liofre,yaraukE,,hiravagiSa,lamuoSera,yekbay,kal,seyrgata,lipahakaCa,tiake,oxox-guegae,asam,ham
Pen.CHINOOKAN.KATHLAMET,nai,qaulqt,qucu,tu,ti,maqt,kutkut,qamst,aks,Xust,tuL,,paL,ksi,Sm,,qaXL,,panaqs,qst,,Xaliu,,pul,kS,ixat,xatk,kuaLilx,kst,qsu,qixanap,qnaks,qaLaX,,,mqu,makst,Suqua,nsai,mai
Pen.COSTANOAN.MUTSUN,ka-kan,patian,tati,mus-muS,ayi-wate,semon-sun,huCe-Cukuti,ukisi-uknesi,tuksus-oCo,xin-hi5,soton-hiyis,wixi-hamui,,isu-iSu,nam-nanm,Ciri,tolso-makus,ketex,sire,kaxai-rax,tamar,krakat,itas-itsa,murtei-murteis,xux,emetCa-emetka,inu-inux,,aiw-mexe,turum-marax,oSe,irek,ismen-hiSmen,lase,sit,tapur,utxin-ustxin,si,makse-mak,me-men
Pen.COSTANOAN.RUMSEN,ka,paCan,CaC,mus,,,maCan,ukkes,tukhs,hin,sato-xal,,,is,,,talse,as,siri-xon,kah,,,itti,mur-orpeto,us,imhala,in,ama,,trurum,pakras-pakararkt,izrek-irek,tank-iSmen,lash,sit,maiyas-moiorx,utis-uthis,si,makkeiaha,me
Pen.KLAMATH_MODOC.KLAMATH,ni-no,jeqle,qoqo,eCs,gvebga,Coq-qleg,waCak,bonw,momowC-wawaq,lolb,loloq,kyem,sda,nep,domn,toqi,qolinC,tapq,balla,koy,yana,sess,ten,psin,psi,nas,sdo,maqlaq,sle7,,qCol,qday,s7ab,baC,dot,qo,lab,ambo-Coq,nad,ad-i
Pen.MAIDUAN.NE_MAIDU,ni,sede,b3mi,mini,3ye,wono,s3-wepams3,mo,bono,hini,sa,mako,opitpe,ma,pin,,pokosi,boto,k3lla,pedesi-di,yamani,ya,,po-kulumeki,hik3,s3tti,waypapayi,mayd3,Ce,posala-posali,l3l3,,ekdampoko-ekimpoko,eni,Ciki,Ca,pene,momi,nisam,mi-minc3
Pen.MAIDUAN.NISENAN,ni,sedey,b3m,min,,won-wono,sukku,mo-moho,bono,hin,sa,pala,winno,ma,pin,,,bakkal,kylla,di,yaman,ha-ya,bey,po-poho,kol,witte-w3k,bo,,bu-w3,po,molo-pokeC3k,,ok,al,,Ca,pen,mom,nes,mi
Pen.MIWOK.CENTRAL_SIERRA_MIWOK,kan,kiCawi,kiCiCi,musu,ini,CamSi,Cuku,uSu,tokoSu,Sinti,wike,ewi,,tisi,teley,,hoNoyu,tata,kila,keti,leme,oyaSe,,kawili-kawil,nito,,,miwi,SiNe-nani,toleCa,hosokona,Sawa,hi7ema-wati,nepiti,kiti,lama,,kiki,ti,
Pen.MIWOK.MIWOK_BODEGA,kanni-kani,kiCCaw,muCCi,mu,oni,tulaw,hayuSa,uSu,alok,Sut,wuki,elle,huwa,ukkuh,alu,killi,mowi,,kulla,CupSi-ket,payih,awe,Sukku,kawul,huk,kenne,muku,inniko,ute,Suluk,hitti,luppu-luppuh,hi,lenteppi,kut,alwah,oSSa,liwa,mako,mi
Pen.MIWOK.MIWOK_LAKE,kanni-kani,kiccaw,kulum,mu,oni,yok,hayu,ussu,alok,sut,wiki,kac,pali,ukku-uku,alu,killi,thokollu,sanim,kulla,cupse,pawih,lakte-lakat,suku,kawul-ume,huk,kenne,muk,koca,ute,suluk,tole,hoka-luppu,hi,lettip,kut,alwa-ala,otta-ota,kik,occi-ici,mi
Pen.MIWOK.NORTHERN_SIERRA_MIWOK,kani,kiCawi,kiCiCi,musu,ini,Camsi,Cuku,uhu-ufu,tokosu,siti,wike,lapisayi,humani,ukusu,toloyu,kili,hoNoyu,tata,kila,Cipsi-keti,lupayi,oyase,wenmemi-wenemi,kawili,huku,luti-nake,CuCupi-muku,miwi,heteyi,piCeta-talka,hosokona,sawa,hi7ema,nepiti,kiti,leka,otiko,kiki,masi,ni
